text,sentiment
"A fast food place, but of all the fast Japanese food places I've been to [and I've tried most of them], I would rate this one highest.  3 stars is the highest I'd rate a fast food joint.  If you get the chicken, I would recommend getting the all white meat rice bowl.  I prefer their beef bowls.  Their sushi rolls are sub-par, and since they are pre-made, I wouldn't recommend them.  Their wraps are good as well.",negative
"I have to say I am a total fan of the food and our server Chad was great.  But I thought it was lame that he couldn't wear his eyelet earrings or his hair in a totally retro fohawk but all the women that worked there looked like they were dressed for a sexy night out on the town.  I don't mind that the ladies were all strutting around with all their naughty bits on display but give us lady patrons something to ogle too!  How about putting the guys in fitted shirts and allowing their personalities to shine through adornment and coiffed hair.  \nBut back to the food, for an appetizer I tried the deviled eggs and they were wonderful and big!  No slacking on the portion size.  We were a large group so I got to sample the burger, grilled cheese sandwich with roasted tomato bisque, the french dip and beef stroganoff.  Every single one was heavenly and delicious!  I also like the plating of the food.  I will be back.",positive
Nice looking place and they seem to do good work but the substantial number of attempted up sells is unsettling.  Combine this with a generally rude and impatient cashier plus your typical uppity North Scottsdale crowd and I'd be hard pressed to return.,negative
"I live in Cleveland... need I say more... I decided on a recent trip to Vegas, to do some research and find a stellar hair colorist... indeed I did. Megan is a pro, listened, understood, and created exactly what I wanted. The space is simple, just hair. But they are damn good! I'll see you all in three months!",positive
"Called and said haply hour ends at 7 PM so at 6:50 we try to get a 2nd order in and server says no happy hour is over because there clock is fast, total BS,  went to manager and same story even though I showed phone then she says all carriers are different, not so, we had att, Verizon and sprint and guess what all exact same time. No silverware had to ask 4 times.",negative
"I only went to this restaurant based off of the reviews it had been given.  I went in with an open mind as I dont mind the building of a restaurant.  But this was way over-rated by many!!  The steak had absolutely no taste whatsoever.  The service was very mediocre.  Our waiter came by with the dessert tray and showed us the desserts and kept walking with the tray.  He never asked us if we wanted to order one, and quickly returned with our check.  I have eaten at some of the best restaurants in Vegas and this was very bad.  Just to list some others that I have been to....Gordan Ramsey Steak, Hugo's Cellar, Maestros, Cut, Stripsteak.   Any of these I listed blow this one out of the water.  I am not sure if the people reviewing this are not fine dining experienced, but their reviews are very deceiving!!  Trust me there are hundreds of better options in Vegas for the same amount of money and you dont have to step foot in Circus Circus.",negative
"I came here on their first day of business with a couple friends, one of whom often mentions their shop up in New Brighton. The three of us split three waffles: two savory and one sweet. They were all super tasty. I am pretty new to the world of savory waffles... this is the perfect place for the introduction. The rest of the menu looked great too.\n\nGreat service, cool decor. Totally reasonable prices. Can't wait to see it fill up on a Saturday morning!",positive
Would never go back and never recommend.  Just paid $542 at our regular vet today ( Friday ) to fix the bad neuter they did Monday. My poor dog was in so much pain. Never. Again.,negative
"This place is a true unexpected gem in Las Vegas. We were in the mood for sushi but didn't want to go to a high-priced place on The Strip so we found ourselves here. Upon arriving in the strip mall parking lot, the place is very unassuming, even dive-ish from the outside. The inside is actually quite nicely decorated in a simple yet well-appointed Japanese style. \n\nNow on to the good stuff...\n\nWe ordered the All You Can Eat Lunch for $26.95/ pp. You really can't go wrong here. Order from the whole menu and the only restriction is the time limit of 45 minutes. Between the 2 of us we ordered 7 different rolls, soup, edamame, soft drinks and dessert - all included. I was stuffed when we left, to say the least!! \n\nFor the quality and selection of the sushi this is an amazing deal!!! Although everything we had was delicious, the stand outs were the Spider, Orion, and Tiger rolls. \n\nWhen I'm in Las Vegas again in the future, this will be on my places to visit again.",positive
"Came here with a friend after a craving for fish on a Sunday afternoon.\n\nSakana is located in the corner of a shopping center with Target on Maryland Ave; sort of easy to miss because it's tucked in the corner.  The place isn't big, but not crammed in any way.  \n\nWe decided on the AYCE sushi option, as the menu is vast.  The only downside is that there isn't really any sashimi; or rather, the sashimi is not just simple raw cuts of fish, but instead sashimi dressed up in sauces, fruits or veggies.  However, there are definitely many different interesting rolls to try, and they were quite good.  I'm more of a nigiri and sashimi eater, but I definitely like rolls as well.\n\nAll in all, the fish here is just average, but the rolls were definitely creative, nicely presented, and tasty.  The cooked food was actually the best part of the menu surprisingly; the pork belly and tempura calamari was top-notch.  \n\nHave I been to a better AYCE sushi buffet at 24.95?  You bet.  But this one's not bad and will do for a pinch if you're in the area.",negative
"I recently bought a watch on the internet, and although the watch was perfect I felt that the leather strap was a bit loose, and it was in the last hole. I took it to Cobbler's Key last week, and asked the chap to make an extra hole. He couldn't have been more helpful, and when I asked him how much I owed him, he replied nothing. That is what I call service with a smile\nI have used this shop previously to have keys cut etc. and the service is always first class, and great value for money.\nPlease support local businesses like this, the service is so much better than the big chains, and much cheaper.",positive
THIS PLACE IS FILTHY! I dont know what kind of salons these other reviewers are used to but this place is disgusting. The customer service was way below sub standard and the pedi was something i could do better.  I honestly think the other reviews were written either by employees of the salon or their family,negative
"Had simple grilled mackerel and daeji bulgogi/spicy pork and a hyedubap/chirashi salad and a pancake. The food was good, but nothing impressive or felt like home. I grew up in Los Angeles near Koreatown and grew up with Korean food as a staple. It's much cheaper for better quality and taste elsewhere. I would not mind the prices if it was actually worth it, but this was just A-OK food. If I rated the food alone it was about 3-3.5 stars.\n\nI give it a one star for testing my patience. I'm a very forgiving, patient customer but this was beyond unprofessional.\n\nFirst it took long for her to get back to us to order (maybe sat for 15minutes), then our food took 30 minutes to get to our table for very simple dishes. Still, I can deal with that.\n\nIts what transpired next that got me pissed.\n\nI tried to wave her down a few times as she was attending to other guests and she gave a gesture like she'll be there...took a few tries until she did actually approach so I can ask for water and tea refill and some lemon for the mackerel. She cleared some banchan plates and I dont think she was planning on giving us anymore...she never asked like she did with other tables. She never came back with drinks, lemon or any banchan. We finished our food and just wanted to go home since we had a long drive from San Diego...... waved and waved and asked for a check.\n\n15 minutes pass and she's attending to a new table that came in. It is not busy and it was late at night. 2 tables other than us and now a new 3rd table walked in all smaller parties of 3-4 people. Waved her again down for the check.\n\nAnother 10 minutes waiting and I stood up and demanded to have our check. Went to sit down and waited another 5 minutes until I turned around and uncomfortably eyed her every move until she'd acknowledge my existence for 5 minutes. She finally brought it along after she rang up another parties check first in seconds after their asking. \n\nI was really pissed off being held hostage for 35 unnecessary minutes. I dont want to point the race card but everyone was Korean and getting prompt and friendly service except for us. We couldn't get anything we asked for and the Korean tables she was chummy with and got them drinks and sauces several times. I watched her pour the new people waters when I didn't get one automatically- I asked for one and the other people got refills of things when I couldn't even get a water and a check. \n\nEven if that wasn't the case that it's race, I really felt like such an outsider being ignored and it definitely was preferential treatment to the two existing tables and the newcomers.\n\n I should have walked out of the emergency door a long time ago. I don't think dine and dash is right, but I felt for once someone deserved it. She got $2 dollars as a tip just cuz were not complete assholes..but it was on a tab that normally we would tip at least $17 for decent service with our basic needs met. \n\nNEVER AGAIN.\n\n I've never been so irritated!",negative
"I've only had drinks here so far, but the food I saw looked amazing. I'm a fan of the atmosphere too; the music kept the feeling upbeat and the bartenders were all really nice particularly Chris (think that was his name).\n\nIt's a little pricey, but no more than you would expect given the location.",positive
Great Atmosphere and lots of nice scenery,positive
"Anytime I feel like some good Italian food our family heads to RigaTony's. The antipasto salad to start off your meal is amazing and the warm fresh baked ciabatta bread, we just cant get enough. The Capellini Checca is my favorite dish by far, especially when you are looking for something different then the basic Italian food. On my last visit I was even told the story of how the drink the Eleanor had come to be, and it was definitely worth putting on the menu, We have never gotten anything but outstanding service, and whenever friends and family come to town RigaTony's is always my recommendation.",positive
"Good restaurant with a diverse menu, I've been here 4 times now and always had a good meal. The Tuna appetizer is awesome, if you like heat get a burger with the ghost pepper cheese its hot but great, tuna entree is good as well as the steaks. I'll be back again.",positive
"Sure miss our Rubios in Surprise but this is a nice treat near the movie theater on Deer Valley! Food is solid, staff was friendly, salsa was yum as always. Can always count on Rubios for consistent food.",positive
