text,sentiment
what the heck. I did smog other car from Jiffy smog on rainbow and paid $19.99.\nBut this place charged me $27; $21 for smog and 6 for VIR fee. Whatever.,negative
I always in the Kalbi Plate with Kim Chi. Chicken Katsu has too much breading on it. And I don't care for there style of bbq chicken grill chicken with bbq or teriyaki sauce put on it.,positive
The chicken shwarma is awesome! The fries are hand cut and really good. Service is quick and the prices are reasonable. May have found my new lunch spot!,positive
Came in on a thursday lunch. the place was filled got the garlic prawns and green curry both were amazing,positive
I liked it..The patio was very pleasant and the food was good..I got the norm..2 eggs a piece of ham and toast..Im easy when it comes to breakfast ;),positive
poor service and 1/2 of the menu was \'out of stock\'.\nMeh indeed,negative
Great service and my Chai was great!,positive
Don Rafa has closed due to economic reasons. :(,negative
"Food was ok and service was great. Definitely overpriced. I am checking off this restaurant from my list of been-there, done-that places.\n\nThe bento box for dessert was the only thing memorable.",negative
"Super cute restaurant with great service. Fun, local atmosphere and family-like staff after just a few visits. Feeney's Steak Salad for life!",positive
This place is great and ALOT of fun. Sarah is a nice lady. Enjoy!!,positive
"Food took forever, tacos were dried, beans were thick and chalky., chips and salsa tastes awful. Will not go here again.",negative
YUCK!!!! Go elsewhere for your chicken!,negative
New guy Arthur. Learn how to treat customers better. You were rude today! I LOVE this location. If you don't improve will choose another.,negative
Order take out here on a pretty constant basis. Great pAd Thai and Thai teas. Great prices too.,positive
"I like the fact that this location is clean and organized, but the inventory is poor and runs low on merchandise often.",negative
Left here as one happy customer! I was helped by Jorge who made everything so easy. Great service and someone who I would definitely recommend to my family and friends! :),positive
Blah overpriced airport food...how can you mess up a quesadilla and salad?? Better stick to the tequila Sammy!,negative
Overpriced burgers. Sweet potato smashfries were good. I like the fact that they support a local craft brewery-Four Peaks. Staff was very welcoming. Three words In-n-out.,negative
"They have great food, they also have roaches",negative
Been there twice... the food is disgusting. Literally tastes like the McDonald's of BBQ. I will never go back.,negative
